iteration,updated_modulus,pre_update_training_mse,training_rmse,validation_rmse
1,0.9749583604490333,0.531684027777808,0.639469071290809,0.5785672549773986
11,1.9157629614663647,0.019648521098762552,0.11058450790609736,0.10005265001027852
21,2.690555195115405,0.0015271001596663697,0.047245972910627015,0.042746356442948275
31,2.964857290039492,0.006797876831536307,0.08335141972009799,0.0754131892705649
41,2.8859282881451023,0.005744267641567014,0.0736655955509232,0.06664982454607338
51,2.676645357904132,0.0023430025315211845,0.045217923146080884,0.04091145427502557
61,2.4840602866524204,0.000306900997103679,0.014804944794623373,0.01339495005227831
71,2.37459296060734,1.1763885940093635e-05,0.004681046359814878,0.004235232420784885
81,2.3498970166550253,8.845854139402737e-05,0.009328091851721726,0.008439702151557704
91,2.371687254506763,3.333456702594906e-05,0.005222790707236737,0.0047253820684523
101,2.3980333347143263,5.412662596792869e-07,0.0003588007097485814,0.00032462921358200614
111,2.409024441689896,2.479165727064974e-06,0.00163891788351131,0.0014828304660340907
121,2.406756482272046,1.7573433860918295e-06,0.0012281928046210303,0.0011112220613238022
131,2.40107076151887,8.106713107043158e-08,0.00019510385616846256,0.00017652253653338557
141,2.3982284444038036,9.172956267563667e-08,0.00032317837576198075,0.0002923994828322174
151,2.398583682452277,7.812729098001367e-08,0.00025833533833989885,0.00023373197278370172
161,2.3998450576581147,2.3020752682882153e-09,2.824652132314896e-05,2.555637643519848e-05
171,2.4004238299315386,5.5049162600267336e-09,7.72470230915411e-05,6.989016374947532e-05
180,2.400302387627723,3.6564830839893013e-09,5.51158003225418e-05,4.9866676482324124e-05
