state_index,time_us,connected_extension_d0.5,connected_extension_d0.8,connected_extension_d0.9
0,0.0,0.0,0.0,0.0
32,0.5069375514227479,0.0,0.0,0.0
62,0.9975222786060521,0.0,0.0,0.0
93,1.5044598300288001,0.0,0.0,0.0
123,1.9950445572121043,0.0,0.0,0.0
154,2.501982108634852,0.0,0.0,0.0
184,2.992566835818157,0.0,0.0,0.0
215,3.4995043872409046,0.0,0.0,0.0
246,4.006441938663652,0.0,0.0,0.0
276,4.497026665846957,0.0,0.0,0.0
307,5.003964217269704,0.0,0.0,0.0
337,5.494548944453009,0.0,0.0,0.0
368,6.001486495875757,0.0,0.0,0.0
398,6.492071223059061,0.0,0.0,0.0
429,6.999008774481809,0.0,0.0,0.0
460,7.505946325904557,0.0,0.0,0.0
490,7.996531053087861,0.0,0.0,0.0
521,8.503468604510608,0.0,0.0,0.0
551,8.994053331693914,0.0,0.0,0.0
582,9.50099088311666,0.0,0.0,0.0
613,10.007928434539409,0.0,0.0,0.0
643,10.498513161722714,0.0,0.0,0.0
674,11.005450713145462,0.0,0.0,0.0
704,11.496035440328766,0.0,0.0,0.0
735,12.002972991751514,0.0,0.0,0.0
765,12.493557718934818,0.0,0.0,0.0
796,13.000495270357566,0.0,0.0,0.0
827,13.507432821780315,0.1479915340064899,0.0,0.0
857,13.998017548963618,0.35584261112510873,0.0,0.0
888,14.504955100386367,0.6176898733737808,0.0,0.0
918,14.99553982756967,1.0243220481293989,0.35584261112510873,0.1479915340064899
949,15.50247737899242,1.4143904536201894,0.8824801622333283,0.6176898733737808
979,15.993062106175723,1.9463516980670406,1.1506035892039002,0.8824801622333283
1010,16.499999657598472,2.211099493224559,1.6782197987925294,1.4143904536201894
1041,17.006937209021217,2.74190947805619,2.211099493224559,1.9463516980670406
1071,17.497521936204524,3.2702645023455794,2.74190947805619,2.4741482347553507
1102,18.00445948762727,3.80398392769451,3.2702645023455794,2.74190947805619
1132,18.495044214810576,4.332578746931109,3.80398392769451,3.5372697945521914
1163,19.00198176623332,5.1280774254889,4.332578746931109,4.066561488204972
1193,19.49256649341663,5.659696594137671,4.86304035804314,4.600153440925709
